Reservation_id,Age,Adults,Children,Babies,Visted_Previously,Previous_Cancellations,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,stay_nights,Lead_Days,Revenue,Expected_checkin_year,Expected_checkin_month,Gender_M,Ethnicity_Asian American,Ethnicity_Latino,Ethnicity_caucasian,Educational_Level_Grad,Educational_Level_High-School,Educational_Level_Mid-School,Income_50K -- 100K,Income_<25K,Income_>100K,Country_region_North,Country_region_South,Country_region_West,Hotel_Type_City Hotel,Hotel_Type_Resort,Meal_Type_FB,Meal_Type_HB,Deposit_type_Non-Refundable,Deposit_type_Refundable,Booking_channel_Direct,Booking_channel_Online
39428300,40,2,2,0,0,0,1,1,1,10,218,1,41,218,2015,7,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
77491756,49,3,3,0,0,0,1,1,0,0,185,1,36,185,2015,7,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
73747291,42,3,3,0,0,0,1,1,0,0,119,4,3,476,2015,7,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
67301739,25,4,3,0,0,0,1,1,1,5,144,1,12,144,2015,7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
77222321,62,1,1,0,0,0,0,1,1,10,242,1,13,242,2015,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
55152245,34,5,2,1,1,0,0,1,1,10,143,1,13,143,2015,7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
87139343,53,2,1,0,1,1,1,1,1,25,212,1,0,212,2015,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
7647912,40,2,1,0,0,0,1,1,0,0,170,1,8,170,2015,7,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1
94296865,59,3,2,0,0,0,1,1,1,10,245,1,84,245,2015,5,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0
93087487,21,2,3,0,1,0,0,1,1,20,212,3,72,636,2015,4,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
21683013,69,1,3,0,0,0,0,1,0,0,106,3,20,318,2015,6,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
41573356,52,4,3,0,1,0,1,1,1,10,208,1,34,208,2015,7,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
27295370,55,1,2,0,1,0,0,1,0,0,145,1,67,145,2015,7,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
84744933,42,1,2,0,1,0,1,1,1,25,180,4,14,720,2015,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
